"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Boot"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"8192"	"7"	"8d14f0b1f960cf5768a7d00d599ec98f"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"100"	"32"	"ac9580fef8c033077f1eecb907ff1273"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"65536"	"33"	"48fd4ea7397a47c6d70fe29b792387d8"	"unknown"	"rrwxrwxrwx"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2097152"	"34"	"a92aa1d790bb218a84b744e153e54701"	"unknown"	"rrwxrwxrwx"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2097152"	"35"	"b2d1236c286a3c0704224fe4105eca49"	"unknown"	"rrwxrwxrwx"	"/img_USB_Evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$LogFile"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2097152"	"2"	"19c10d4cc97ecca9371dab08dff8e8a2"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"262144"	"0"	"87081e35dc32b0128b7fd7f2bf27c216"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"4096"	"1"	"bf3e41df91972e54290a112b20e42496"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$MFTMirr"
"$IBBN6AS.bmp"	".bmp"	"r"	""	"2025-12-02 18:58:29 IST"	"2025-12-02 18:58:29 IST"	"2025-12-02 18:58:29 IST"	"100"	"46"	"fb8f832e0dac5c9f3cd81a020a6f42d8"	"unknown"	"rrwxrwxrwx"	"/img_USB_Evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$IBBN6AS.bmp"
